id,creationTimeSeconds,hacker,defender,verdict,problem,judgeProtocol
369635,1510247325,"{'contestId': 888, 'members': [{'handle': 'matcoder'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'Hasan'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'D', 'name': 'Almost Identity Permutations', 'type': 'PROGRAMMING', 'rating': 1600, 'tags': ['combinatorics', 'dp', 'math']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""373086956251""\r\n\n\nInput:\n1000 4\r\n\n\nOutput:\n373086956251\r\n\n\nAnswer:\n373086956251\r\n\n\nTime:\n0\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369636,1510247354,"{'contestId': 888, 'members': [{'handle': 'wakax365'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'saisurya027'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""1""\r\n\n\nInput:\na\r\n\n\nOutput:\n1\n\nAnswer:\n1\r\n\n\nTime:\n15\n\nMemory:\n35872768\n', 'verdict': 'Unsuccessful hacking attempt'}"
369637,1510247356,"{'contestId': 888, 'members': [{'handle': 'Fake_Candidate_Master'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'restart_2.0'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""6""\r\n\n\nInput:\n10\r\nUURRDDRRRL\r\n\n\nOutput:\n6\r\n\n\nAnswer:\n6\r\n\n\nTime:\n0\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369638,1510247385,"{'contestId': 888, 'members': [{'handle': 'Srinivas.ch96'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'sergon2002'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'A', 'name': 'Local Extrema', 'type': 'PROGRAMMING', 'rating': 800, 'tags': ['brute force', 'implementation']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""0""\r\n\n\nInput:\n4\r\n1 1 1 1\r\n\n\nOutput:\n0\r\n\n\nAnswer:\n0\r\n\n\nTime:\n31\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369639,1510247393,"{'contestId': 888, 'members': [{'handle': 'wakax365'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'Jason_Xiao'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""1""\r\n\n\nInput:\na\r\n\n\nOutput:\n1\r\n\n\nAnswer:\n1\r\n\n\nTime:\n0\n\nMemory:\n98304\n', 'verdict': 'Unsuccessful hacking attempt'}"
369640,1510247411,"{'contestId': 888, 'members': [{'handle': 'Azuz'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'Plusha'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""0""\r\n\n\nInput:\n8\r\nLLLLLLLL\r\n\n\nOutput:\n0\n\nAnswer:\n0\r\n\n\nTime:\n0\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369641,1510247415,"{'contestId': 888, 'members': [{'handle': 'Akulyat'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'cxrost'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""1""\r\n\n\nInput:\na\r\n\n\nOutput:\n1\r\n\n\nAnswer:\n1\r\n\n\nTime:\n31\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369642,1510247431,"{'contestId': 888, 'members': [{'handle': 'HockeyCockey16'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'eddy1021'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'B', 'name': 'Buggy Robot', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['greedy']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""92""\r\n\n\nInput:\n100\r\nRDDRRLUDUDRLULLDRRURRRULURDUUDLLLLURULRULDLULURLURURLDDDRRDLLURRRLUDDLLUDDDLRULLDUUDDLDULDULUDLURULD\r\n\n\nOutput:\n92\r\n\n\nAnswer:\n92\r\n\n\nTime:\n0\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
369643,1510247437,"{'contestId': 888, 'members': [{'handle': 'Lantos'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'Alexandre_Orekh'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",INVALID_INPUT,"{'contestId': 888, 'index': 'A', 'name': 'Local Extrema', 'type': 'PROGRAMMING', 'rating': 800, 'tags': ['brute force', 'implementation']}","{'manual': 'false', 'protocol': ""Validator 'v.exe' returns exit code 3 [FAIL Unexpected character #13, but ' ' expected (stdin)]"", 'verdict': 'Invalid input'}"
369644,1510247440,"{'contestId': 888, 'members': [{'handle': 'ratn41'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1510239900}","{'contestId': 888, 'members': [{'handle': 'enigmaavkm'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1510239900}",HACK_UNSUCCESSFUL,"{'contestId': 888, 'index': 'C', 'name': 'K-Dominant Character', 'type': 'PROGRAMMING', 'rating': 1400, 'tags': ['binary search', 'implementation', 'two pointers']}","{'manual': 'false', 'protocol': 'Solution verdict:\nOK\n\nChecker:\nok 1 number(s): ""3""\r\n\n\nInput:\naaffff\r\n\n\nOutput:\n3\r\n\n\nAnswer:\n3\r\n\n\nTime:\n15\n\nMemory:\n0\n', 'verdict': 'Unsuccessful hacking attempt'}"
