contestId,index,solvedCount
1957,B,18204
1957,A,23615
1956,F,376
1956,E2,908
1956,E1,1490
1956,D,4019
1956,C,13200
1956,B,21486
1956,A,22011
1955,H,1285
1955,G,4674
1955,F,7284
1955,E,8835
1955,D,15776
1955,C,21673
1955,B,28479
1955,A,44517
1954,F,261
1954,E,2372
1954,D,6378
1954,C,19873
1954,B,18955
1954,A,24583
1953,A,0
1952,J,784
1952,I,545
1952,H,712
1952,G,1044
1952,F,1766
1952,E,262
1952,D,4672
1952,C,2939
1952,B,11240
1952,A,12640
1951,I,78
1951,H,289
1951,G,344
1951,F,778
1951,E,3722
1951,D,5530
1951,C,11973
1951,B,14978
1951,A,20196
1950,G,4560
1950,F,9440
1950,E,14882
1950,D,23726
1950,C,40992
1950,B,39132
1950,A,55228
1949,K,335
1949,J,412
1949,I,1944
1949,H,128
1949,G,811
1949,F,1037
1949,E,108
1949,D,425
1949,C,1845
1949,B,3516
1949,A,116
1948,G,714
1948,F,1357
1948,E,3059
1948,D,9681
1948,C,17343
1948,B,23351
1948,A,29097
1946,F,1013
1946,E,2627
1946,D,4843
1946,C,11259
1946,B,20804
1946,A,26404
1945,H,698
1945,G,758
1945,F,4330
1945,E,8424
1945,D,14898
1945,C,15297
1945,B,23178
1945,A,28125
1944,B,16484
1944,A,24250
1943,F,115
1943,E2,309
1943,E1,447
1943,D2,833
1943,D1,1543
1943,C,2177
1943,B,3951
1943,A,18442
1942,H,100
1942,G,465
1942,F,716
1942,E,1721
1942,D,2866
1942,C2,6272
1942,C1,11203
1942,B,14229
1942,A,17498
1941,G,3668
1941,F,6226
1941,E,10005
1941,D,18801
1941,C,34255
1941,B,30617
1941,A,43249
1940,D,145
1940,C,35
1940,B,210
1940,A,85
1939,D,101
1939,C,320
1939,B,248
1939,A,24
1938,M,63
1938,L,297
1938,K,647
1938,J,1324
1938,I,77
1938,H,2219
1938,G,1080
1938,F,780
1938,E,1036
1938,D,92
1938,C,1511
1938,B,201
1938,A,58
1937,B,15367
1937,A,23416
1936,F,147
1936,E,126
1936,D,532
1936,C,1365
1936,B,3029
1936,A,7629
1935,F,460
1935,E,1411
1935,D,8442
1935,C,8391
1935,B,18970
1935,A,28413
1934,E,246
1934,D2,1420
1934,D1,3605
1934,C,7010
1934,B,19404
1934,A,25753
1933,G,996
1933,F,2550
1933,E,11607
1933,D,20757
1933,C,23041
1933,B,33407
1933,A,38726
1932,G,1116
1932,F,4296
1932,E,8491
1932,D,11754
1932,C,16177
1932,B,21212
1932,A,30276
1931,G,2927
1931,F,8293
1931,E,16611
1931,D,19841
1931,C,29770
1931,B,32743
1931,A,36793
1930,I,75
1930,H,198
1930,G,353
1930,F,738
1930,E,1189
1930,D2,2699
1930,D1,4229
1930,C,7261
1930,B,15695
1930,A,18908
1929,F,1831
1929,E,1745
1929,D,4927
1929,C,15308
1929,B,25552
1929,A,32031
1928,F,266
1928,E,1765
1928,D,4401
1928,C,8803
1928,B,17960
1928,A,23006
1927,G,1739
1927,F,4530
1927,E,14415
1927,D,22464
1927,C,28518
1927,B,34037
1927,A,44501
1926,G,3718
1926,F,1756
1926,E,12390
1926,D,15993
1926,C,27614
1926,B,33277
1926,A,50308
1925,D,3751
1925,B,20503
1925,A,29212
1924,F,157
1924,E,444
1924,D,1055
1924,C,1188
1924,B,2649
1924,A,14312
1923,F,384
1923,E,4045
1923,D,7037
1923,C,15615
1923,B,18056
1923,A,25009
1922,F,1446
1922,E,7897
1922,D,5841
1922,C,18964
1922,B,21097
1922,A,27382
1921,G,1271
1921,F,3995
1921,E,10041
1921,D,22026
1921,C,29846
1921,B,34178
1921,A,44223
1920,F2,544
1920,F1,1033
1920,E,2796
1920,D,5727
1920,C,14225
1920,B,21251
1920,A,28090
1919,H,145
1919,G,183
1919,F2,882
1919,F1,2227
1919,E,896
1919,D,3951
1919,C,19789
1919,B,29990
1919,A,33774
1918,G,484
1918,F,916
1918,E,1779
1918,D,4940
1918,C,14401
1918,B,24260
1918,A,30592
1917,F,986
1917,E,1420
1917,D,1835
1917,C,10749
1917,B,23371
1917,A,25765
1916,H2,549
1916,H1,627
1916,G,151
1916,F,507
1916,E,2304
1916,D,8782
1916,C,18313
1916,B,26774
1916,A,26558
1915,G,6718
1915,F,14532
1915,E,23137
1915,D,31071
1915,C,44487
1915,B,43418
1915,A,60313
1914,G2,1434
1914,G1,1950
1914,F,4246
1914,E2,12829
1914,E1,12597
1914,D,23131
1914,C,25408
1914,B,30924
1914,A,32332
1913,F,335
1913,E,1069
1913,D,3310
1913,C,15404
1913,B,28904
1913,A,25528
1912,L,7283
1912,K,2670
1912,J,617
1912,I,57
1912,H,467
1912,G,495
1912,F,117
1912,E,988
1912,D,1591
1912,C,56
1912,B,1152
1912,A,2230
1910,J,49
1910,I,52
1910,H,95
1910,G,64
1910,F,181
1910,E,208
1910,D,365
1910,C,656
1910,B,691
1910,A,1814
1909,I,122
1909,H,81
1909,G,423
1909,F2,977
1909,F1,1891
1909,E,1435
1909,D,4544
1909,C,11510
1909,B,18160
1909,A,18097
1907,G,1999
1907,F,5060
1907,E,10792
1907,D,15108
1907,C,20658
1907,B,26363
1907,A,37432
1906,M,2840
1906,L,591
1906,K,331
1906,J,849
1906,I,166
1906,H,800
1906,G,218
1906,F,1244
1906,E,1662
1906,D,129
1906,C,200
1906,B,620
1906,A,4636
1905,F,566
1905,E,1037
1905,D,3969
1905,C,12623
1905,B,16766
1905,A,23222
1904,F,387
1904,E,1048
1904,D2,4591
1904,D1,7039
1904,C,14069
1904,B,16297
1904,A,21476
1903,F,671
1903,E,2098
1903,D2,803
1903,D1,5937
1903,C,12377
1903,B,13108
1903,A,35591
1902,F,1069
1902,E,4449
1902,D,4261
1902,C,14211
1902,B,14775
1902,A,21432
1901,F,156
1901,E,1599
1901,D,7224
1901,C,12327
1901,B,15275
1901,A,35415
1900,F,297
1900,E,2147
1900,D,4378
1900,C,11867
1900,B,17937
1900,A,30485
1899,G,3341
1899,F,7960
1899,E,15936
1899,D,13825
1899,C,22266
1899,B,21654
1899,A,49722
1898,F,828
1898,E,2356
1898,D,5399
1898,C,5687
1898,B,12303
1898,A,16231
1896,H2,108
1896,H1,95
1896,G,349
1896,F,752
1896,E,2277
1896,D,5949
1896,C,9937
1896,B,15307
1896,A,26473
1895,G,199
1895,F,787
1895,E,1598
1895,D,6197
1895,C,11511
1895,B,20634
1895,A,24657
1894,B,16281
1894,A,19167
1893,E,200
1893,D,938
1893,C,2777
1893,B,9121
1893,A,12686
1891,F,3927
1891,E,864
1891,D,4046
1891,C,13974
1891,B,18945
1891,A,19428
1890,B,17738
1890,A,28895
1889,F,86
1889,E,115
1889,D,638
1889,C2,1040
1889,C1,3381
1889,B,7565
1889,A,13525
1887,F,182
1887,E,390
1887,D,998
1887,C,1817
1887,B,3129
1886,F,192
1886,E,1536
1886,D,3667
1886,C,11978
1886,B,16481
1886,A,26148
1885,A,0
1884,E,323
1884,D,3335
1884,C,6281
1884,B,12925
1884,A,17681
1883,G2,5574
1883,G1,11750
1883,F,9874
1883,E,8398
1883,D,12066
1883,C,29402
1883,B,34585
1883,A,26150
1882,E2,301
1882,E1,1044
1882,D,5658
1882,C,12680
1882,B,15727
1882,A,25615
1881,G,2453
1881,F,7237
1881,E,15250
1881,D,18239
1881,C,17393
1881,B,25919
1881,A,33910
1879,F,523
1879,E,1294
1879,D,7694
1879,C,17756
1879,B,22915
1879,A,23348
1878,G,1219
1878,F,4230
1878,E,13514
1878,D,8633
1878,C,34976
1878,B,31960
1878,A,47038
1877,C,11296
1877,A,25384
1876,G,143
1876,F,150
1876,E,279
1876,D,904
1876,C,2363
1876,B,8569
1876,A,19160
1875,D,9078
1875,C,12030
1875,A,27263
1874,G,93
1874,F,219
1874,E,334
1874,D,749
1874,C,1767
1874,B,1171
1874,A,17412
1873,H,7694
1873,G,13876
1873,F,16220
1873,E,28294
1873,D,36244
1873,C,43135
1873,B,50788
1873,A,56768
1872,G,4386
1872,F,6521
1872,E,14318
1872,D,25276
1872,C,23862
1872,B,28269
1872,A,39710
1870,H,88
1870,G,226
1870,F,500
1870,E,2433
1870,D,7164
1870,C,11767
1870,B,14429
1870,A,19286
1869,B,16897
1869,A,23033
1868,F,79
1868,E,87
1868,D,292
1868,C,1187
1868,B2,2457
1868,B1,7172
1868,A,12234
1867,F,427
1867,E2,3263
1867,E1,3842
1867,D,5971
1867,C,11478
1867,B,17033
1867,A,20220
1866,M,831
1866,L,734
1866,K,456
1866,J,293
1866,I,784
1866,H,1684
1866,G,1768
1866,F,137
1866,E,430
1866,D,1364
1866,C,3093
1866,B,7916
1866,A,24184
1864,I,91
1864,H,298
1864,G,282
1864,F,1468
1864,E,2700
1864,D,6925
1864,C,13803
1864,B,15568
1864,A,20483
1863,I,86
1863,H,92
1863,G,657
1863,F,1171
1863,E,2821
1863,D,9701
1863,C,14326
1863,B,15493
1863,A,18030
1862,G,2952
1862,F,6466
1862,E,11027
1862,D,17602
1862,C,21153
1862,B,33796
1862,A,32983
1861,F,212
1861,E,1773
1861,D,6965
1861,C,10389
1861,B,21781
1861,A,24112
1860,F,282
1860,E,1473
1860,D,3084
1860,C,13667
1860,B,17279
1860,A,22075
1859,F,415
1859,E,1826
1859,D,7175
1859,C,17262
1859,B,28511
1859,A,34246
1858,E2,1085
1858,E1,1357
1858,D,2875
1858,C,23468
1858,B,11556
1858,A,40772
1857,G,4612
1857,F,11980
1857,E,12803
1857,D,20395
1857,C,27440
1857,B,23288
1857,A,50673
1856,E2,1456
1856,E1,5486
1856,D,3322
1856,C,12888
1856,B,24761
1856,A,26813
1855,B,28140
1855,A,28361
1854,F,125
1854,E,440
1854,D,557
1854,C,1552
1854,B,3624
1854,A2,7122
1854,A1,14418
1853,B,17723
1853,A,33698
1852,F,109
1852,E,171
1852,D,487
1852,C,1656
1852,B,4593
1852,A,8235
1851,G,3341
1851,F,6037
1851,E,10689
1851,D,15542
1851,C,23762
1851,B,29751
1851,A,29877
1850,H,8483
1850,G,12938
1850,F,20047
1850,E,24430
1850,D,39094
1850,C,45798
1850,B,43969
1850,A,59039
1849,F,734
1849,E,1698
1849,D,8807
1849,C,10851
1849,B,27332
1849,A,29978
1848,F,1663
1848,E,809
1848,D,2666
1848,C,6436
1848,B,15839
1848,A,17053
1847,F,924
1847,E,335
1847,D,3865
1847,C,13147
1847,B,20307
1847,A,22116
1846,G,4533
1846,F,3207
1846,E2,7177
1846,E1,17586
1846,D,19935
1846,C,19511
1846,B,27131
1846,A,32753
1845,F,373
1845,E,1376
1845,D,8011
1845,C,14622
1845,B,21860
1845,A,28912
1844,H,141
1844,G,850
1844,F2,406
1844,F1,793
1844,E,1914
1844,D,12530
1844,C,16084
1844,B,18465
1844,A,24771
1843,F2,1668
1843,F1,5442
1843,E,12933
1843,D,18568
1843,C,34085
1843,B,29468
1843,A,34739
1842,I,124
1842,H,719
1842,G,1104
1842,F,1429
1842,E,1649
1842,D,4165
1842,C,13367
1842,B,17700
1842,A,19957
1841,F,508
1841,E,2072
1841,D,4524
1841,C,7997
1841,B,21942
1841,A,24889
1840,G2,1004
1840,G1,2432
1840,F,1860
1840,E,8235
1840,D,14101
1840,C,29295
1840,B,22753
1840,A,34619
1839,E,1253
1839,D,2388
1839,C,12238
1839,B,15333
1839,A,17608
1838,F,322
1838,E,1521
1838,D,3329
1838,C,14875
1838,B,16632
1838,A,21705
1837,F,2251
1837,E,2244
1837,D,15459
1837,C,22445
1837,B,31397
1837,A,34220
1836,B,12774
1836,A,20487
1835,F,174
1835,E,235
1835,D,520
1835,C,1021
1835,B,961
1835,A,7965
1834,F,535
1834,E,2328
1834,D,4795
1834,C,13594
1834,B,15522
1834,A,26007
1833,G,5518
1833,F,7632
1833,E,12367
1833,D,13590
1833,C,26378
1833,B,26994
1833,A,33002
1832,F,282
1832,E,2232
1832,D2,1948
1832,D1,3005
1832,C,21935
1832,B,23153
1832,A,26076
1831,B,21926
1831,A,28340
1830,F,265
1830,E,255
1830,D,716
1830,C,1743
1830,B,5023
1830,A,14116
1829,H,8028
1829,G,10899
1829,F,18257
1829,E,20736
1829,D,27430
1829,C,29238
1829,B,48850
1829,A,53604
1828,B,24512
1828,A,23941
1827,F,118
1827,E,430
1827,D,777
1827,C,1265
1827,B2,1933
1827,B1,3973
1827,A,19773
1826,F,401
1826,E,1673
1826,D,10463
1826,C,13898
1826,B,18540
1826,A,15563
1825,B,14883
1825,A,19840
1824,E,137
1824,D,501
1824,C,1452
1824,B2,2786
1824,B1,4746
1824,A,11480
1823,F,914
1823,E,1280
1823,D,3929
1823,C,12593
1823,B,16450
1823,A,16420
1822,G2,2486
1822,G1,7262
1822,F,6360
1822,E,10758
1822,D,17106
1822,C,23298
1822,B,25240
1822,A,24771
1821,F,774
1821,E,2426
1821,D,5074
1821,C,14611
1821,B,19366
1821,A,20099
1820,B,15353
1820,A,16854
1819,F,134
1819,E,317
1819,D,683
1819,C,1518
1819,B,3662
1819,A,12962
1818,B,15293
1818,A,13169
1817,F,213
1817,E,267
1817,D,817
1817,C,1026
1817,B,4237
1817,A,11285
1816,B,15492
1816,A,17735
1815,F,241
1815,E,349
1815,D,1210
1815,C,2026
1815,B,3104
1815,A,14429
1814,F,655
1814,E,1395
1814,D,891
1814,C,11098
1814,B,10244
1814,A,30663
1812,J,5990
1812,I,271
1812,H,151
1812,G,555
1812,F,1266
1812,E,4060
1812,D,4675
1812,C,1278
1812,B,5746
1812,A,13434
1811,G2,1813
1811,G1,2127
1811,F,1884
1811,E,12676
1811,D,7697
1811,C,20298
1811,B,20834
1811,A,31726
1810,H,142
1810,G,747
1810,F,583
1810,E,3299
1810,D,7577
1810,C,14818
1810,B,17708
1810,A,20929
1809,G,456
1809,F,789
1809,E,873
1809,D,6455
1809,C,13114
1809,B,20314
1809,A,24135
1808,E3,449
1808,E2,703
1808,E1,1370
1808,D,2406
1808,C,3892
1808,B,17970
1808,A,18603
1807,G2,20098
1807,G1,19529
1807,F,6487
1807,E,13598
1807,D,35126
1807,C,31139
1807,B,43252
1807,A,65476
1806,F2,302
1806,F1,364
1806,E,2903
1806,D,946
1806,C,7777
1806,B,18192
1806,A,26266
1805,F2,359
1805,F1,960
1805,E,1665
1805,D,6843
1805,C,12799
1805,B,18792
1805,A,24994
1804,H,190
1804,G,207
1804,F,975
1804,E,1492
1804,D,4720
1804,C,12396
1804,B,14412
1804,A,18055
1802,B,13520
1802,A,15980
1801,G,425
1801,F,608
1801,E,487
1801,D,2316
1801,C,3553
1801,B,6462
1801,A,8759
1800,G,2151
1800,F,4004
1800,E2,13191
1800,E1,13147
1800,D,24550
1800,C2,23184
1800,C1,24240
1800,B,25772
1800,A,32404
1799,H,298
1799,G,805
1799,F,861
1799,E,1239
1799,D2,2581
1799,D1,4684
1799,C,6010
1799,B,11570
1799,A,11680
1798,F,518
1798,E,1648
1798,D,10368
1798,C,8359
1798,B,17024
1798,A,20243
1797,F,365
1797,E,1346
1797,D,4065
1797,C,7872
1797,B,16682
1797,A,17781
1796,F,175
1796,E,784
1796,D,4472
1796,C,10694
1796,B,16791
1796,A,18953
1795,G,693
1795,F,1141
1795,E,2093
1795,D,9521
1795,C,13004
1795,B,22360
1795,A,23772
1794,E,1130
1794,D,3659
1794,C,14459
1794,B,23892
1794,A,17317
1793,F,1420
1793,E,1117
1793,D,6338
1793,C,21515
1793,B,16021
1793,A,18167
1792,F2,400
1792,F1,748
1792,E,1412
1792,D,6392
1792,C,14463
1792,B,21819
1792,A,28456
1791,G2,4907
1791,G1,23766
1791,F,12816
1791,E,29779
1791,D,32397
1791,C,48227
1791,B,45844
1791,A,63950
1790,G,1151
1790,F,3409
1790,E,15474
1790,D,21246
1790,C,24447
1790,B,27690
1790,A,37640
1789,F,734
1789,E,835
1789,D,1719
1789,C,8726
1789,B,16331
1789,A,20010
1788,F,883
1788,E,2752
1788,D,4001
1788,C,17578
1788,B,20408
1788,A,32518
1787,I,254
1787,H,240
1787,G,448
1787,F,694
1787,E,2386
1787,D,3450
1787,C,7233
1787,B,13477
1787,A,19343
1786,B,9116
1786,A2,11489
1786,A1,14137
1784,F,255
1784,E,347
1784,D,1051
1784,C,1697
1784,B,3379
1784,A,15405
1783,G,486
1783,F,1056
1783,E,2150
1783,D,4555
1783,C,9515
1783,B,18120
1783,A,31543
1781,H2,98
1781,H1,120
1781,G,235
1781,F,938
1781,E,1315
1781,D,5605
1781,C,7875
1781,B,13660
1781,A,15183
1780,G,773
1780,F,1566
1780,E,1479
1780,D,5065
1780,B,18789
1780,A,21857
1779,H,145
1779,G,331
1779,F,1277
1779,E,1809
1779,D,8068
1779,C,12656
1779,B,23827
1779,A,23282
1778,F,684
1778,E,916
1778,D,2882
1778,C,8502
1778,B,13476
1778,A,24588
1777,F,999
1777,E,1909
1777,D,3597
1777,C,8887
1777,B,17773
1777,A,25947
1776,N,84
1776,M,379
1776,L,6441
1776,K,69
1776,J,705
1776,I,705
1776,H,6577
1776,G,2107
1776,F,3566
1776,E,74
1776,D,376
1776,C,829
1776,B,1372
1776,A,7132
1775,F,776
1775,E,3344
1775,D,6451
1775,C,10810
1775,B,14484
1775,A2,18956
1775,A1,19797
1774,H,135
1774,G,448
1774,F2,718
1774,F1,1089
1774,E,3563
1774,D,8091
1774,C,12214
1774,B,12527
1774,A,22632
1773,L,47
1773,K,1493
1773,J,112
1773,I,499
1773,H,383
1773,G,402
1773,F,4279
1773,E,5057
1773,D,500
1773,C,32
1773,B,816
1773,A,1622
1772,G,1388
1772,F,2433
1772,E,6896
1772,D,16307
1772,C,24179
1772,B,29598
1772,A,49821
1771,F,1207
1771,E,717
1771,D,2842
1771,C,9927
1771,B,15054
1771,A,23277
1770,H,107
1770,G,162
1770,F,722
1770,E,1391
